molecule	wavelength	absorbance
lutein	314.3196298	0.052098525
lutein	319.7657464	0.050432353
lutein	326.0718151	0.048774631
lutein	332.0914796	0.048833785
lutein	338.684199	0.04717888
lutein	343.271103	0.050663335
lutein	349.0041168	0.050719672
lutein	354.4512194	0.055932271
lutein	358.7519656	0.062853296
lutein	363.3398555	0.073216523
lutein	368.2168609	0.100779496
lutein	372.5198254	0.123177756
lutein	375.9623449	0.14212818
lutein	379.6920081	0.164520806
lutein	383.1347741	0.185190923
lutein	385.7178345	0.207572282
lutein	388.0139977	0.228231132
lutein	390.0252355	0.260925014
lutein	392.3223847	0.288462635
lutein	394.6192873	0.314280563
lutein	396.6295393	0.340095675
lutein	398.9247166	0.353875753
lutein	402.6541333	0.374548686
lutein	404.9502965	0.395207536
lutein	406.6741443	0.422739523
lutein	408.3974991	0.446832124
lutein	409.5480454	0.474358478
lutein	410.9852425	0.501887648
lutein	412.4239184	0.539734976
lutein	413.8616084	0.570703532
lutein	415.5859491	0.601674905
lutein	417.024132	0.636082847
lutein	419.3202953	0.656741696
lutein	422.1904993	0.682565258
lutein	425.9172047	0.68432157
lutein	429.6444031	0.689517268
lutein	431.9405664	0.710176117
lutein	433.6639212	0.734268719
lutein	434.5283098	0.765231641
lutein	435.6793491	0.79619738
lutein	436.8298955	0.823723734
lutein	437.6945306	0.856406349
lutein	438.8453234	0.885652395
lutein	440.2820275	0.90974218
lutein	441.1451838	0.932106638
lutein	442.2949907	0.954473913
lutein	443.1574075	0.971679292
lutein	444.5943581	0.99748877
lutein	447.4618509	1.00439571
lutein	449.7518523	0.982062237
lutein	451.4675663	0.952844359
lutein	452.6107184	0.928779926
lutein	453.4674663	0.90643237
lutein	454.6106184	0.882367937
lutein	455.1809621	0.861737256
lutein	456.03771	0.839389699
lutein	457.1803692	0.811885881
lutein	458.6099255	0.786104572
lutein	460.3271184	0.767204851
lutein	462.6173662	0.746591072
lutein	464.6258929	0.760368333
lutein	466.3480153	0.77586247
lutein	467.4980687	0.799949437
lutein	468.3612249	0.822313895
lutein	469.2248741	0.848117739
lutein	470.3739417	0.865325935
lutein	471.5232556	0.884253824
lutein	473.2453781	0.899747961
lutein	474.6808498	0.915239282
lutein	476.6856793	0.90322115
lutein	478.4021328	0.87916235
lutein	479.2588807	0.856814794
lutein	480.4012934	0.827591282
lutein	481.544199	0.801807156
lutein	482.1133103	0.772578011
lutein	482.9688258	0.74163199
lutein	483.5379371	0.712402845
lutein	483.8206442	0.684890576
lutein	484.6756668	0.650505169
lutein	485.5321682	0.626437919
lutein	486.1007865	0.593769388
lutein	486.9558091	0.559383981
lutein	487.8103387	0.521559188
lutein	488.6651148	0.485454088
lutein	489.2315149	0.437308321
lutein	490.3729417	0.401206039
lutein	491.8007727	0.363386879
lutein	492.6545629	0.320403008
lutein	493.508846	0.280858523
lutein	494.9381558	0.253357521
lutein	495.2206165	0.224125559
lutein	496.9358376	0.191468295
lutein	498.9367235	0.151935077
lutein	500.0793826	0.124431258
lutein	502.6550488	0.095221831
lutein	504.6583994	0.072885542
lutein	507.5219486	0.052277396
lutein	510.9595386	0.036833962
lutein	514.6847652	0.028272117
lutein	518.9832932	0.019715906
lutein	523.8556155	0.014604714
lutein	528.4420266	0.014649783
lutein	533.6009996	0.009541408
lutein	538.4740613	0.009589295
lutein	544.4934793	0.007928756
lutein	549.0798904	0.007973826
lutein	554.5262535	0.008027346
lutein	558.5391167	0.006347089
