type	wavelength	reflectance
before	303.6423841	10.06934813
before	307.615894	12.0665742
before	311.589404	14.23023578
before	316.2251656	16.22746186
before	320.8609272	18.22468793
before	325.4966887	20.0554785
before	330.1324503	21.71983356
before	335.4304636	23.38418863
before	340.0662252	24.88210818
before	346.0264901	26.54646325
before	351.3245033	27.8779473
before	357.9470199	29.37586685
before	363.9072848	30.7073509
before	372.5165563	32.28848821
before	381.1258278	33.61997226
before	389.7350993	34.70180305
before	399.0066225	35.61719834
before	407.615894	36.36615811
before	416.2251656	37.03190014
before	425.4966887	37.69764216
before	432.781457	38.19694868
before	440.7284768	38.52981969
before	448.6754967	39.02912621
before	456.6225166	39.52843273
before	465.2317881	39.86130374
before	473.1788079	40.19417476
before	481.7880795	40.52704577
before	489.7350993	40.85991678
before	497.0198675	41.02635229
before	504.9668874	41.3592233
before	512.2516556	41.52565881
before	520.8609272	41.69209431
before	529.4701987	41.85852982
before	538.7417219	42.02496533
before	548.013245	42.19140083
before	556.6225166	42.35783634
before	565.8940397	42.35783634
before	575.8278146	42.52427184
before	588.410596	42.52427184
before	598.3443709	42.52427184
before	607.615894	42.52427184
before	618.2119205	42.69070735
before	630.1324503	42.6074896
before	640.7284768	42.6074896
before	651.3245033	42.52427184
before	661.9205298	42.44105409
before	671.192053	42.35783634
before	683.1125828	42.27461859
before	692.384106	42.19140083
before	702.3178808	42.10818308
after	303.6423841	10.06934813
after	307.615894	12.0665742
after	311.589404	14.23023578
after	316.2251656	16.22746186
after	320.8609272	18.22468793
after	325.4966887	20.0554785
after	330.1324503	21.71983356
after	335.4304636	23.38418863
after	340.0662252	24.88210818
after	346.0264901	26.54646325
after	350.6622517	28.0443828
after	357.9470199	30.04160888
after	363.9072848	31.53952843
after	372.5165563	33.370319
after	381.1258278	35.20110957
after	389.7350993	36.86546463
after	399.0066225	38.52981969
after	407.615894	39.9445215
after	416.2251656	41.10957004
after	424.8344371	42.27461859
after	432.781457	43.27323162
after	440.7284768	44.18862691
after	448.6754967	45.02080444
after	456.6225166	45.85298197
after	466.5562914	46.6851595
after	474.5033113	47.35090153
after	482.4503311	47.85020804
after	490.397351	48.34951456
after	497.6821192	48.84882108
after	506.2913907	49.3481276
after	514.2384106	49.68099861
after	522.1854305	50.09708738
after	530.794702	50.42995839
after	538.7417219	50.7628294
after	548.013245	51.09570042
after	555.9602649	51.34535368
after	563.9072848	51.59500693
after	573.1788079	51.84466019
after	581.7880795	52.09431345
after	589.0728477	52.26074896
after	596.3576159	52.42718447
after	605.6291391	52.51040222
after	614.2384106	52.67683773
after	623.5099338	52.84327323
after	630.794702	52.84327323
after	637.4172185	52.84327323
after	644.7019868	53.00970874
after	652.6490066	53.00970874
after	659.9337748	53.00970874
after	668.5430464	53.09292649
after	677.1523179	53.09292649
after	687.0860927	53.09292649
after	696.3576159	53.00970874
after	703.6423841	53.00970874
